frame index, translation vector, rotation vector
1, [ 0.24127809 -0.47212063  0.58757609], [-0.00223444  0.02179108 -0.011645  ]
2, [ 0.2385066  -0.45667045  0.57469006], [ 0.0355885   0.06591542 -0.0172331 ]
3, [ 0.23848327 -0.45675204  0.57444139], [ 0.03512656  0.06585452 -0.01694755]
4, [ 0.23816243 -0.45651957  0.57377597], [ 0.0435955   0.06673494 -0.00655821]
5, [ 0.23867721 -0.46079581  0.57609507], [ 0.03742696  0.07767292 -0.01080588]
6, [ 0.23739809 -0.4557463   0.57074567], [ 0.05378401  0.05739117 -0.0247528 ]
7, [ 0.23779011 -0.46070661  0.57348594], [ 0.0373625   0.03824475 -0.01679392]
8, [ 0.23733587 -0.46169147  0.57273569], [ 0.03557643  0.03761702 -0.01589071]
9, [ 0.23543926 -0.45463548  0.56549628], [ 0.04581534  0.04572048 -0.00625553]
10, [ 0.23519422 -0.45947049  0.56848246], [ 0.0309741   0.04999963 -0.00884585]
11, [ 0.20228433 -0.28501294  0.41881585], [ 0.78945782  0.1454643  -0.04437707]
12, [ 0.23544057 -0.46380966  0.57026189], [ 0.04136427  0.05971439 -0.01443292]
13, [ 0.23587497 -0.46345626  0.57043146], [ 0.01687923  0.05322379 -0.01251382]
14, [ 0.23550431 -0.45945844  0.56734988], [ 0.03859726  0.05676338 -0.00970408]
15, [ 0.23557351 -0.45892686  0.5664162 ], [ 0.03140916  0.06475742 -0.00947857]
16, [ 0.23675286 -0.46251646  0.56914474], [ 0.02535556  0.05320568 -0.00339741]
17, [ 0.2048551  -0.28647819  0.4176339 ], [0.64253585 0.22454526 0.01884584]
18, [ 0.23773778 -0.46732589  0.56943142], [ 0.03380006  0.06108303 -0.00949695]
19, [ 0.23732558 -0.46987862  0.5679648 ], [ 0.03778661  0.05009738 -0.00949919]
20, [ 0.23630842 -0.46887379  0.56293527], [ 0.05528645  0.05780141 -0.01606683]
21, [ 0.23594475 -0.47145664  0.55955906], [ 1.63946742  0.29507106 -0.04335314]
22, [ 0.23603965 -0.47411602  0.55705998], [ 0.06990578  0.0511722  -0.00580399]
23, [ 0.23641561 -0.47653692  0.55290246], [ 0.07402849  0.05399952 -0.0068675 ]
24, [ 0.23678038 -0.47725613  0.54703286], [ 0.12515985  0.03855842 -0.01862236]
25, [ 0.23785785 -0.47901041  0.54160051], [ 0.09139851  0.03888677 -0.00429474]
