frame index, translation vector, rotation vector
1, [0 0 0], [0 0 0]
2, [0.00000000e+00 5.55111512e-17 0.00000000e+00], [0. 0. 0.]
3, [0.0052642  0.0027094  0.00656354], [-0.01572798 -0.00911547  0.01419758]
4, [0.0052642  0.0027094  0.00656354], [-0.01572798 -0.00911547  0.01419758]
5, [0.0052642  0.0027094  0.00656354], [-0.01572798 -0.00911547  0.01419758]
6, [0.0052642  0.0027094  0.00656354], [-0.01572798 -0.00911547  0.01419758]
7, [0.0052642  0.0027094  0.00656354], [-0.01572798 -0.00911547  0.01419758]
8, [0.0052642  0.0027094  0.00656354], [-0.01572798 -0.00911547  0.01419758]
9, [0.0052642  0.0027094  0.00656354], [-0.01572798 -0.00911547  0.01419758]
12, [0.0052642  0.0027094  0.00656354], [-0.01572798 -0.00911547  0.01419758]
13, [0.0052642  0.0027094  0.00656354], [-0.01572798 -0.00911547  0.01419758]
14, [0.0052642  0.0027094  0.00656354], [-0.01572798 -0.00911547  0.01419758]
15, [0.0052642  0.0027094  0.00656354], [-0.01572798 -0.00911547  0.01419758]
16, [0.0052642  0.0027094  0.00656354], [-0.01572798 -0.00911547  0.01419758]
17, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
18, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
21, [0.01246513 0.00598736 0.01548955], [ 0.00837705 -0.01876892  0.01841248]
22, [0.01246513 0.00598736 0.01548955], [ 0.00837705 -0.01876892  0.01841248]
23, [0.01246513 0.00598736 0.01548955], [ 0.00837705 -0.01876892  0.01841248]
24, [0.01246513 0.00598736 0.01548955], [ 0.00837705 -0.01876892  0.01841248]
25, [0.01246513 0.00598736 0.01548955], [ 0.00837705 -0.01876892  0.01841248]
26, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
27, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
29, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
31, [0.0052642  0.0027094  0.00656354], [-0.01572798 -0.00911547  0.01419758]
32, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
43, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
44, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
45, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
47, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
48, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
54, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
55, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
56, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
57, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
61, [0.00000000e+00 5.55111512e-17 0.00000000e+00], [0. 0. 0.]
62, [0.00000000e+00 5.55111512e-17 0.00000000e+00], [0. 0. 0.]
63, [0.00000000e+00 5.55111512e-17 0.00000000e+00], [0. 0. 0.]
65, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
66, [0.00559704 0.00267489 0.00730728], [ 0.01873963  0.00725634 -0.00257223]
67, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
74, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
75, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
76, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
77, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
78, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
84, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
85, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
89, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
90, [0.00166847 0.00089299 0.00245786], [ 0.00682635 -0.01774392  0.00647933]
91, [0.0052642  0.0027094  0.00656354], [-0.01572798 -0.00911547  0.01419758]
92, [0.00000000e+00 5.55111512e-17 0.00000000e+00], [0. 0. 0.]
93, [0.00699497 0.003629   0.00909602], [-0.0084118  -0.02652318  0.0204312 ]
