frame index, translation vector, rotation vector
1, [ 0.2330594  -0.02991258 -0.07693119], [-0.6709141  -1.69967867 -0.02970026]
2, [ 0.2330594  -0.02991258 -0.07693119], [-0.6709141  -1.69967867 -0.02970026]
3, [ 0.2330594  -0.02991258 -0.07693119], [-0.6709141  -1.69967867 -0.02970026]
4, [ 0.2330594  -0.02991258 -0.07693119], [-0.6709141  -1.69967867 -0.02970026]
8, [ 0.24585684 -0.03361212 -0.0871785 ], [ 0.10643883 -0.02134126  0.0949023 ]
9, [ 0.24585684 -0.03361212 -0.0871785 ], [ 0.10643883 -0.02134126  0.0949023 ]
10, [ 0.24585684 -0.03361212 -0.0871785 ], [ 0.10643883 -0.02134126  0.0949023 ]
11, [ 0.24585684 -0.03361212 -0.0871785 ], [ 0.10643883 -0.02134126  0.0949023 ]
12, [ 0.24585684 -0.03361212 -0.0871785 ], [ 0.10643883 -0.02134126  0.0949023 ]
13, [ 0.29208932 -0.04822005 -0.12543198], [ 0.05112755 -0.02672279  0.02839553]
14, [ 0.29208932 -0.04822005 -0.12543198], [ 0.05112755 -0.02672279  0.02839553]
15, [ 0.29208932 -0.04822005 -0.12543198], [ 0.05112755 -0.02672279  0.02839553]
16, [ 0.29208932 -0.04822005 -0.12543198], [ 0.05112755 -0.02672279  0.02839553]
17, [ 0.29208932 -0.04822005 -0.12543198], [ 0.05112755 -0.02672279  0.02839553]
18, [ 0.24585684 -0.03361212 -0.0871785 ], [ 0.10643883 -0.02134126  0.0949023 ]
19, [ 0.29208932 -0.04822005 -0.12543198], [ 0.05112755 -0.02672279  0.02839553]
20, [ 0.29208932 -0.04822005 -0.12543198], [ 0.05112755 -0.02672279  0.02839553]
21, [ 0.29208932 -0.04822005 -0.12543198], [ 0.05112755 -0.02672279  0.02839553]
22, [ 0.29208932 -0.04822005 -0.12543198], [ 0.05112755 -0.02672279  0.02839553]
23, [ 0.29208932 -0.04822005 -0.12543198], [ 0.05112755 -0.02672279  0.02839553]
24, [ 0.29208932 -0.04822005 -0.12543198], [ 0.05112755 -0.02672279  0.02839553]
32, [ 0.22136784 -0.02583887 -0.06758876], [-0.62783234 -1.73514873 -0.00482937]
33, [ 0.22136784 -0.02583887 -0.06758876], [-0.62783234 -1.73514873 -0.00482937]
34, [ 0.22136784 -0.02583887 -0.06758876], [-0.62783234 -1.73514873 -0.00482937]
35, [ 0.22136784 -0.02583887 -0.06758876], [-0.62783234 -1.73514873 -0.00482937]
36, [ 0.22136784 -0.02583887 -0.06758876], [-0.62783234 -1.73514873 -0.00482937]
45, [ 0.27540451 -0.04257774 -0.11106973], [0.05805457 0.01061441 0.00489939]
47, [ 0.27540451 -0.04257774 -0.11106973], [0.05805457 0.01061441 0.00489939]
48, [ 0.27540451 -0.04257774 -0.11106973], [0.05805457 0.01061441 0.00489939]
49, [ 0.27540451 -0.04257774 -0.11106973], [0.05805457 0.01061441 0.00489939]
